pert_iname,clinical_phase,moa,target,mechanism_family,exclusion_reason,exclusion_match,excluded_because
etoposide-phosphate,Launched,topoisomerase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
etoxybamide,Phase 2,,,other / unclassified,,,no annotated mechanism of action
etretinate,Withdrawn,protein synthesis inhibitor,RARA|RXRG,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
eugenol,Launched,androgen receptor antagonist,AR,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
EUK-134,Preclinical,catalase stimulant,APP|SOD2,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
exatecan-mesylate,Phase 3,topoisomerase inhibitor,TOP1,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
exemestane,Launched,aromatase inhibitor,CYP19A1,other / unclassified,systemic sex-steroid manipulation,aromatase,hard exclusion: systemic sex-steroid manipulation
E7820,Phase 2,angiogenesis inhibitor,,other / unclassified,anti-angiogenic with juvenile growth-plate toxicity,angiogenesis inhibitor,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
F-16915,Preclinical,,,other / unclassified,,,no annotated mechanism of action
fadrozole,Launched,aromatase inhibitor,CYP11B1|CYP19A1,other / unclassified,systemic sex-steroid manipulation,aromatase,hard exclusion: systemic sex-steroid manipulation
favipiravir,Phase 3,RNA polymerase inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,RNA polymerase inhibitor,hard exclusion: known to suppress chondrocyte proliferation
fdcyd,Phase 2,DNA methyltransferase inhibitor,,epigenetic (selective probe),broad epigenetic poison,DNA methyltransferase inhibitor,hard exclusion: broad epigenetic poison
fenaclon,Preclinical,,,other / unclassified,,,no annotated mechanism of action
fenbendazole,Launched,tubulin polymerization inhibitor,TUBB,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
fenoxaprop-p-ethyl,Preclinical,,NOS3,other / unclassified,,,no annotated mechanism of action
fenretinide,Phase 3,apoptosis stimulant|retinoid receptor agonist,RARA,GPCR,known plate-fusion or premature-remodeling hazard,RARA,hard exclusion: known plate-fusion or premature-remodeling hazard
fexinidazole,Phase 3,,,other / unclassified,,,no annotated mechanism of action
fiacitabine,Phase 2,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
fidaxomicin,Launched,RNA polymerase inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,RNA polymerase inhibitor,hard exclusion: known to suppress chondrocyte proliferation
finasteride,Launched,5 alpha reductase inhibitor,AKR1D1|SRD5A1|SRD5A2,metabolic,systemic sex-steroid manipulation,5 alpha reductase,hard exclusion: systemic sex-steroid manipulation
fisetin,Preclinical,Aurora kinase inhibitor,CDK6|FASN,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
flavin-adenine-dinucleotide,Preclinical,,ACAD8|ACADM|ACADS|ACOX1|AIFM1|CYB5R1|CYB5R3|DAO|DLD|DPYD|ERO1LB|FDXR|GCDH|GFER|GSR|IL4I1|IVD|MAOA|MAOB|NOS1|NQO1|NQO2|POR|TXNRD1|XDH,other / unclassified,,,no annotated mechanism of action
fleroxacin,Launched,topoisomerase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
florfenicol,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
floxuridine,Launched,DNA synthesis inhibitor,TYMS,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
flubendazole,Launched,tubulin polymerization inhibitor,TUBB,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
flucytosine,Launched,other antifungal,DNMT1,other / unclassified,broad epigenetic poison,DNMT1,hard exclusion: broad epigenetic poison
fludarabine,Launched,ribonucleotide reductase inhibitor,ADA|DCK|POLA1|RRM1|RRM2,metabolic,broad cytotoxic chemotherapeutic,ribonucleotide reductase,hard exclusion: broad cytotoxic chemotherapeutic
fludarabine-phosphate,Launched,ribonucleotide reductase inhibitor,POLA1|POLD1|POLE|RRM1|RRM2|RRM2B,metabolic,broad cytotoxic chemotherapeutic,ribonucleotide reductase,hard exclusion: broad cytotoxic chemotherapeutic
fludrocortisone-acetate,Launched,,NR3C2,other / unclassified,,,no annotated mechanism of action
fludroxycortide,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
flufenamic-acid,Preclinical,chloride channel blocker,AKR1C3|ANO1|AR|GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|PANX1|PANX2|PANX3|PKD2L1|PTGS1|PTGS2|TRPC5|TRPM2|TRPM5,ion channel,systemic sex-steroid manipulation,AR,hard exclusion: systemic sex-steroid manipulation
flumecinol,Launched,,,other / unclassified,,,no annotated mechanism of action
flumequine,Launched,topoisomerase inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
flumethasone,Launched,glucocorticoid receptor agonist,NR3C1|PLA2G1B,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
flumethasone-pivalate,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
flumexadol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
flunisolide,Launched,cytochrome P450 inhibitor,NR3C1,other / unclassified,systemic glucocorticoid manipulation,NR3C1,hard exclusion: systemic glucocorticoid manipulation
fluocinolone-acetonide,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
fluocinonide,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6|SMO,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
fluorescein,Launched,,SLC22A6,transporter,,,no annotated mechanism of action
fluorometholone,Launched,glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
fluorometholone-acetate,Launched,,NR3C1,other / unclassified,systemic glucocorticoid manipulation,NR3C1,hard exclusion: systemic glucocorticoid manipulation
fluoromethylcholine,Launched,,,other / unclassified,,,no annotated mechanism of action
flurothyl,Preclinical,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
fluroxene,Preclinical,local anesthetic,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
flutamide,Launched,androgen receptor antagonist,AHR|AR,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
fluticasone-propionate,Launched,glucocorticoid receptor agonist,NR3C1|NR3C2|PGR|PLA2G4A,GPCR,systemic sex-steroid manipulation,PGR,hard exclusion: systemic sex-steroid manipulation
foretinib,Phase 2,VEGFR inhibitor,FLT1|FLT4|KDR|MET,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
formestane,Launched,aromatase inhibitor,CYP19A1,other / unclassified,systemic sex-steroid manipulation,aromatase,hard exclusion: systemic sex-steroid manipulation
fosbretabulin,Phase 3,tubulin polymerization inhibitor|VE-cadherin antagonist,CDH5,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
foscarnet,Launched,DNA polymerase inhibitor,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
fosfestrol,Launched,synthetic estrogen,ESR1|ESR2,other / unclassified,systemic sex-steroid manipulation,ESR1; ESR2,hard exclusion: systemic sex-steroid manipulation
FPA-124,Preclinical,AKT inhibitor,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
fruquintinib,Launched,VEGFR inhibitor,KDR,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
ftaxilide,Preclinical,,,other / unclassified,,,no annotated mechanism of action
ftorafur,Launched,thymidylate synthase inhibitor,TYMS,metabolic,broad cytotoxic chemotherapeutic,thymidylate synthase,hard exclusion: broad cytotoxic chemotherapeutic
fulvestrant,Launched,estrogen receptor antagonist,ESR1|ESR2|GPER1,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
fumonisin-B1,Preclinical,,CERS1,other / unclassified,,,no annotated mechanism of action
G-15,Preclinical,estrogen receptor antagonist,GPER1,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
GABA-linoleamide,Phase 2,benzodiazepine receptor agonist,,GPCR,,,no orderable sample (no SMILES or catalogue number)
galeterone,Phase 3,androgen receptor modulator,AR|CYP17A1,other / unclassified,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
gallium-triquinolin-8-olate,Phase 1,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
garenoxacin,Launched,topoisomerase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
gastrodin,Phase 2,,,other / unclassified,,,no annotated mechanism of action
GDC-0810,Phase 2,selective estrogen receptor destabilizer,ESR1,other / unclassified,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
GDC-0927,Phase 1,estrogen receptor antagonist,,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
gemcitabine,Launched,ribonucleotide reductase inhibitor,CMPK1|RRM1|RRM2|TYMS,metabolic,broad cytotoxic chemotherapeutic,ribonucleotide reductase,hard exclusion: broad cytotoxic chemotherapeutic
gemcitabine-elaidate,Phase 1,apoptosis inhibitor|DNA synthesis inhibitor,CMPK1|RRM1|TYMS,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
genistein,Phase 2/Phase 3,tyrosine kinase inhibitor,CFTR|ESR1|ESR2|ESRRA|ESRRB|ESRRG|NCOA1|NCOA2|PPARG|PTK2B|TOP2A|TRPC5,kinase,broad cytotoxic chemotherapeutic,TOP2A,hard exclusion: broad cytotoxic chemotherapeutic
genz-644282,Phase 1,topoisomerase inhibitor,TOP1,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
gepon,Phase 1,,,other / unclassified,,,no annotated mechanism of action
gepotidacin,Phase 2,topoisomerase inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
gestrinone,Launched,progesterone receptor antagonist,AR|ESR1|PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
ginsenoside-RE3,Launched,angiogenesis inhibitor|apoptosis stimulant,KCNH2,other / unclassified,anti-angiogenic with juvenile growth-plate toxicity,angiogenesis inhibitor,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
GLPG0492,Phase 1,androgen receptor modulator,AR,other / unclassified,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
GLPG0492-R-enantiomer,Phase 1,androgen receptor modulator,AR,other / unclassified,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
glucaric-acid,Phase 1,,,other / unclassified,,,no annotated mechanism of action
gluconolactone,Launched,,LCT,other / unclassified,,,no annotated mechanism of action
glutathione,Phase 3,antioxidant,ESD|GGT1|GLO1|GLRX|GLRX2|GPX1|GPX2|GPX3|GPX4|GPX5|GPX6|GPX7|GPX8|GSR|GSS|GSTA1|GSTA2|GSTA3|GSTA4|GSTA5|GSTK1|GSTM1|GSTM2|GSTM3|GSTM4|GSTM5|GSTO1|GSTO2|GSTP1|GSTT1|GSTZ1|HAGH|HPGDS|LTC4S|MGST1|MGST2|MGST3|TXNDC12,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
gly-gln,Phase 2,,,other / unclassified,,,no annotated mechanism of action
golvatinib,Phase 2,VEGFR inhibitor,KDR|MET,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
gonadorelin,Launched,gonadotropin releasing factor hormone receptor agonist,GNRHR,GPCR,systemic sex-steroid manipulation,gonadotropin,hard exclusion: systemic sex-steroid manipulation
goserelin-acetate,Launched,gonadotropin releasing factor hormone receptor agonist,GNRHR|LHCGR,GPCR,systemic sex-steroid manipulation,gonadotropin,hard exclusion: systemic sex-steroid manipulation
GR-235,Launched,estrogen receptor agonist|FXR antagonist|progesterone receptor agonist,NR1H4,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
griseofulvin,Launched,tubulin polymerization inhibitor,KRT12,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
GSK-3-inhibitor-IX,Preclinical,glycogen synthase kinase inhibitor|lipoxygenase inhibitor,GSK3A|GSK3B,kinase; metabolic,GSK3 inhibition,glycogen synthase kinase,hard exclusion: GSK3 inhibition
GSK1070916,Phase 1,Aurora kinase inhibitor,AURKA|AURKB|AURKC|CYP2D6|CYP3A4,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
GSK2334470,Preclinical,phosphoinositide dependent kinase inhibitor,AURKA|AURKB|PDPK1,kinase,Aurora inhibitor,AURKA; AURKB,hard exclusion: Aurora inhibitor
GSK2881078,Phase 2,androgen receptor modulator,,other / unclassified,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
GSK461364,Phase 1,PLK inhibitor,PLK1,other / unclassified,PLK inhibitor,PLK,hard exclusion: PLK inhibitor
GSK9027,Preclinical,glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
guadecitabine,Phase 3,DNA methyltransferase inhibitor,,epigenetic (selective probe),broad epigenetic poison,DNA methyltransferase inhibitor,hard exclusion: broad epigenetic poison
guanidinoethyldisulfide-bicarbonate,Phase 2,nitric oxide synthase inhibitor,NOS2,metabolic,,,no orderable sample (no SMILES or catalogue number)
guanosine,Preclinical,,PNP,other / unclassified,,,no annotated mechanism of action
GW-843682X,Preclinical,PLK inhibitor,PLK1|PLK3,other / unclassified,PLK inhibitor,PLK,hard exclusion: PLK inhibitor
halazone,Launched,,,other / unclassified,,,no annotated mechanism of action
halcinonide,Launched,glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
halobetasol-propionate,Launched,glucocorticoid receptor agonist,NR3C1|PLA2G1B,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
halothane,Launched,glutamate receptor antagonist,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|KCNK10|KCNK12|KCNK13|KCNK15|KCNK18|KCNK2|KCNK3|KCNK9,GPCR,,,no orderable sample (no SMILES or catalogue number)
harringtonine,Phase 3,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
hematoporphyrin,Launched,,,other / unclassified,,,no annotated mechanism of action
hematoxylin,Preclinical,,,other / unclassified,,,no annotated mechanism of action
hemomex-s,Launched,,PPARG,other / unclassified,,,no annotated mechanism of action
hesperadin,Preclinical,Aurora kinase inhibitor,AURKB,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
hesperidin,Launched,flavanone glycoside,AURKB|CACNA1B,other / unclassified,Aurora inhibitor,AURKB,hard exclusion: Aurora inhibitor
hexaminolevulinate,Launched,,,other / unclassified,,,no annotated mechanism of action
hexasodium-phytate,Phase 2,,,other / unclassified,,,no annotated mechanism of action
hexestrol,Launched,synthetic estrogen,AKR1C1|ESR1|ESR2,other / unclassified,systemic sex-steroid manipulation,ESR1; ESR2,hard exclusion: systemic sex-steroid manipulation
