accession	n_samples	taxon	n_age_tokens	age_tokens	title	summary
GSE240456	6	Mus musculus	0		Gene expression profiling in salivary glands by BMP-2.	Bone Morphogenetic Protein (BMP), a bone induction factor, belongs to the TGF-β superfamily, and more than 15 types of BMP family molecules have been reported in mammals. They are known to enhance osteoblast differentiation and their osteogenic effects, and also promote differentiation into chondrocytes. While the effects of BMPs on hard tissues are varied and numerous reports have been reported, only a few have reported the effects of BMPs on salivary glands. The aim of this study was to investigate the function of BMP-2 in the formation of salivary glands.
GSE242040	8	Homo sapiens	0		Transcriptional profiling of human cartilage endplate cells identified novel genes and cell clusters underlying degenerated and non-degenerated phenotypes	Background: Low back pain is a leading cause of disability worldwide and is frequently attributed to intervertebral disc (IVD) degeneration.  Though the contributions of the adjacent cartilage endplates (CEP) to IVD degeneration are well documented, the phenotype and functions of the resident CEP cells are critically understudied.  To better characterize CEP cell phenotype and possible mechanisms of CEP degeneration, bulk and single-cell RNA-Sequencing of non-degenerated and degenerated CEP cells were performed.  Methods: Human lumbar CEP cells from degenerated (Thompson Grade ≥ 4) and non-deg
GSE242443	2	Homo sapiens	0		Transcriptional profiling of human cartilage endplate cells identified novel genes and cell clusters underlying degenerated and non-degenerated phenotypes (scRNA-seq)	Background: Low back pain is a leading cause of disability worldwide and is frequently attributed to intervertebral disc (IVD) degeneration.  Though the contributions of the adjacent cartilage endplates (CEP) to IVD degeneration are well documented, the phenotype and functions of the resident CEP cells are critically understudied.  To better characterize CEP cell phenotype and possible mechanisms of CEP degeneration, bulk and single-cell RNA-Sequencing of non-degenerated and degenerated CEP cells were performed.  Methods: Human lumbar CEP cells from degenerated (Thompson Grade ≥ 4) and non-deg
GSE242523	15	Homo sapiens	0		Gene expression profiling of human induced pluripotent stem cell (hiPSC)-derived chondrospheroids	Differentiated chondrocytes from human induced pluripotent stem cells (hiPSCs) have the potential to permanently restore damaged cartilage in arthritic joints, yet chondrocyte hypertrophy is a major barrier for translational therapy.  We developed a serum-free hiPSC differentiation strategy that inhibited, then activated BMP signaling in a purified SOX9+ subpopulation that naturally detaches from monolayer cultures (termed “chondrospheroids”).  Transcriptional profiles of chondrospheroids at days 14, 28, and 42 were measured using bulk RNA sequencing, with hiPSC and sclerotome cells included a
GSE242524	21	Homo sapiens	0		Time- and cell-specific activation of BMP signaling restrains chondrocyte hypertrophy	Differentiated chondrocytes from populations of human bone marrow stromal cells including skeletal stem cells (hBMSCs/SSCs) and induced pluripotent stem cells (hiPSCs) have the potential to restore damaged cartilage, yet chondrocyte hypertrophy is a barrier for translational therapy. However, hBMSCs/SSCs attached to a hyaluronic acid-coated fibrin microbead scaffold (HyA-FMBs) produce cartilage that resists hypertrophy. We show that HyA-FMBs initially suppress Bone Morphogenic Protein (BMP) signaling early in chondrogenic differentiation of hBMSCs/SSCs, then restore BMP signaling in a stable c
GSE242710	8	Homo sapiens	0		Synergetic Support of Cartilage Homeostasis via Coupled Thermal-Pressure Stimuli: A Transcriptomic Study in Human Cartilage Explants	During daily activities, cartilage encounters complex biophysical cues upon loading. Foremost among these is the coupled stimulation of hydrostatic pressure (HP) and loading-induced temperature increase (T), which encompasses both mechanical and thermal aspects of biophysical stimulations in cartilage. While prior research on this subject has been initiated in our laboratory, the detailed mechanisms of combined HP-T effects on chondrocytes in their natural environment remain largely unexplored. Using a custom bioreactor, we applied both isolated and combined HP-T stimuli to cartilage explants 
GSE242712	6	Mus musculus	0		Study on the mechanisms of Piezo1-lars2 signal path mediating the mechanical loading on endochondral ossification process of fracture healing	In China, the incidence of fracture non-unions is relatively high. Impaired endochondral ossification may lead to nonunion due to improper mechanical loading. As a mechanosensitive ion channel protein, Piezo1mediates mechanical transduction and induces calcium inward flow. Our early study showed that the osteogenic and angiogenic capacity of chondrocytes was reduced, if Piezo1 gene was knocked out on chondrocytes. Moreover, the expression of mitochondrion translation related gene LARS2 was signaling increased. Therefore, we hypothesize that the mechanical loading may cause endochondral ossific
GSE242732	1	Mus musculus	0		Loss of Grem1-lineage chondrogenic progenitor 1 cells causes osteoarthritis	Osteoarthritis (OA) is characterised by an irreversible degeneration of articular cartilage. Here we show that the BMP-antagonist Gremlin 1 (Grem1) marks a bipotent chondrogenic and osteogenic progenitor cell population within the articular surface. Notably, these progenitors are depleted by injury-induced OA and increasing age. OA is also caused by ablation of Grem1 cells in mice. Transcriptomic and functional analysis in mice found that articular surface Grem1-lineage cells are dependent on Foxo1 and ablation of Foxo1 in Grem1-lineage cells caused OA. FGFR3 signalling was confirmed as a prom
GSE243072	14	Danio rerio	0		The proteasome subunit psmb1 is essential for craniofacial cartilage maturation and morphogenesis	Craniofacial dysmorphisms are among the most common birth defects. Proteasome mutations frequently result in craniofacial dysmorphisms including lower jaw malformations; however, the underlying mechanisms are unknown. Here we use a zebrafish proteasome subunit beta 1 (psmb1) mutant to define the cellular mechanisms underlying proteasome mutation-induced craniofacial dysmorphisms. psmb1 mutants exhibit a flattened ceratohyal and smaller Meckel’s and palatoquadrate cartilages. Ceratohyal flattening is a result of failed chondrocyte convergent extension, accompanied by reduced numbers of chondroc
GSE243090	12	Mus musculus	0		Modeling the chondrocyte-derived osteoblasts formation process reveals its molecular signature and regulation network 	Endochondral ossification is a physiological process related to the development of long bones, not only on the embryo phase, but also during postnatal development. Mouse cell lineage tracking studies and histology techniques focused on the metaphysis and growth plate area of long bones have described a phenotype transition from chondrocytes to bone cells. However, the molecular events involved in this phenotype transition is still undescribed. Aiming to reproduce this phenotype transition in in vitro cell culture context, primary mesenchymal progenitor cells have been isolated from femur heads
GSE243387	15	Homo sapiens	0		RNA transcriptome sequencing of human ear chondrocytes	In order to elucidate the key genes influencing chondrocyte differentiation in monolayer culture, we conducted RNA sequencing on native chondrocytes, differentiated chondrocytes, and redifferentiated chondrocytes.
GSE243421	12	Homo sapiens	0		Analysis of the mechanism of curcumin against osteoarthritis using transcriptomics	Curcumin is a polyphenolic compound extracted from the turmeric plant (Curcuma longa) and has been extensively studied for its anti-inflammatory and anti-proliferative properties. The safety and effectiveness of curcumin have been thoroughly proven. However, the mechanisms underlying the treatment of osteoarthritis remain unclear. This study aimed to reveal the potential mechanism of curcumin in the treatment of osteoarthritis through metabolomics and transcriptomics. First, we verified the effect of curcumin on inflammatory factors in human articular chondrocytes. Secondly, we used cellular m
GSE244584	24	Homo sapiens	0		WNK2 regulates the response to hyperosmotic stress in chondrocytes	How chondrocytes of the synovial joint sense and respond to hyperosmotic stress to maintain joint homeostasis over time is undetermined. The With-No-Lysine (K) (WNK) protein kinases are major intracellular sensors of hyperosmotic stress that respond by regulating ion channel activity and signaling pathways. To determine if WNK2 is a hyperosmotic sensor in chondrocytes and to identify the genes and pathways regulated by WNK2, we examined the molecular response of chondrocytes to WNK2 overexpression and hyperosmotic stress.
